Method,Image,PSNR,SSIM,UIQM,Brightness,Contrast,Sharpness
HE,vid_000002_frame0000013.jpg,11.052217260201086,0.541499173124884,280.3119489526718,130.3303549382716,72.73082307298618,7068.05305854618
HE,vid_000002_frame0000014.jpg,10.7351484652517,0.49695603345748446,282.0107566070698,130.59371141975308,72.65942740628579,7321.076235138507
HE,vid_000002_frame0000015.jpg,10.347362718570697,0.4546482115304507,284.54053622349136,131.1656635802469,72.61883583426452,9029.113687377056
HE,vid_000002_frame0000016.jpg,10.020869912711445,0.4375029715805794,284.8811170999133,132.00101851851852,72.43285725891955,10659.456537794294
HE,vid_000002_frame0000017.jpg,9.897301661464008,0.40058020620251344,286.17490590057275,132.33180555555555,72.40443625663558,10603.345749427488
HE,vid_000002_frame0000018.jpg,10.017591350898057,0.38626376631820086,288.7893918078272,131.9066049382716,72.3829347313675,10905.284126885193
HE,vid_000002_frame0000019.jpg,10.100623719442188,0.46079680848967924,281.84805152036597,131.70371913580246,72.47970242727136,8449.886495137936
HE,vid_000002_frame0000020.jpg,10.176016266195653,0.4239064182366599,285.0555339027795,131.51387345679012,72.42717037234357,9528.575772950424
HE,vid_000002_frame0000021.jpg,10.195468297784283,0.44805666070972644,282.7924850958423,131.5026388888889,72.42191341313057,9272.108933845595
HE,vid_000002_frame0000022.jpg,10.312384612572314,0.427837736791097,285.1221963883561,131.27487654320987,72.36036946719663,10082.15875714425
HE,vid_000003_frame0000001.jpg,10.228515350346033,0.37541871433202084,294.29388465308443,131.23328703703703,72.7289789111235,13290.014595044346
HE,vid_000003_frame0000002.jpg,10.205987280231971,0.4126992778289029,287.17600015721473,131.36040895061728,72.590401208922,9837.571792413919
HE,vid_000003_frame0000003.jpg,10.196770555547776,0.4165430990851163,288.27972808468166,131.29597222222222,72.69218583812949,10767.657279623678
HE,vid_000003_frame0000004.jpg,10.184133907777424,0.4378727753485087,285.4996261155369,131.46378858024693,72.62320969828605,9941.053573306695
HE,vid_000003_frame0000005.jpg,10.294841691154542,0.4407810998246158,286.1417233955687,131.2231712962963,72.70798647994297,10115.681858622685
HE,vid_000003_frame0000006.jpg,10.403247760945465,0.509748283180166,280.89616840120095,131.15180555555557,72.61403724962953,8709.506042180534
HE,vid_000003_frame0000022.jpg,10.492725000054667,0.5002861027432314,279.2973161374609,130.8904938271605,72.51120719510838,6928.381410951967
HE,vid_000003_frame0000023.jpg,10.358372438410623,0.4863475451849606,280.6516014592385,131.04728395061727,72.56130551084297,7811.277946577729
HE,vid_000004_frame0000010.jpg,10.370755090509967,0.484961687536821,282.5498924138995,130.88689043209877,72.63113900270729,8344.911793783758
HE,vid_000004_frame0000011.jpg,10.366455474329229,0.47973452091079133,281.987872991388,131.02537808641975,72.59211971798496,8093.035862479042
HE,vid_000004_frame0000012.jpg,10.341395487763403,0.4661964482611178,283.987600557656,131.0756712962963,72.5509574480771,9247.049362147003
HE,vid_000005_frame0000007.jpg,9.966048022890881,0.4531574567395153,281.1963839578453,131.78302469135804,72.49748977424868,7863.203084847905
HE,vid_000021_frame0000001.jpg,10.363196460584343,0.4431431852656726,283.65582593626164,130.12293981481483,73.05768481265095,7105.89007682893
