Method,Image,PSNR,SSIM,UIQM,Brightness,Contrast,Sharpness
HE,vid_000002_frame0000013.jpg,11.052217260201086,0.541499173124884,280.3119489526718,130.3303549382716,72.73082307298618,7068.05305854618
HE,vid_000002_frame0000014.jpg,10.7351484652517,0.49695603345748446,282.0107566070698,130.59371141975308,72.65942740628579,7321.076235138507
HE,vid_000002_frame0000015.jpg,10.347362718570697,0.4546482115304507,284.54053622349136,131.1656635802469,72.61883583426452,9029.113687377056
HE,vid_000002_frame0000016.jpg,10.020869912711445,0.4375029715805794,284.8811170999133,132.00101851851852,72.43285725891955,10659.456537794294
HE,vid_000002_frame0000017.jpg,9.897301661464008,0.40058020620251344,286.17490590057275,132.33180555555555,72.40443625663558,10603.345749427488
HE,vid_000002_frame0000018.jpg,10.017591350898057,0.38626376631820086,288.7893918078272,131.9066049382716,72.3829347313675,10905.284126885193
HE,vid_000002_frame0000019.jpg,10.100623719442188,0.46079680848967924,281.84805152036597,131.70371913580246,72.47970242727136,8449.886495137936
HE,vid_000002_frame0000020.jpg,10.176016266195653,0.4239064182366599,285.0555339027795,131.51387345679012,72.42717037234357,9528.575772950424
HE,vid_000002_frame0000021.jpg,10.195468297784283,0.44805666070972644,282.7924850958423,131.5026388888889,72.42191341313057,9272.108933845595
HE,vid_000002_frame0000022.jpg,10.312384612572314,0.427837736791097,285.1221963883561,131.27487654320987,72.36036946719663,10082.15875714425
HE,vid_000002_frame0000023.jpg,10.575688463289179,0.461244142531917,283.9675891673562,130.84264660493827,72.53447499251598,9179.168861522574
HE,vid_000003_frame0000001.jpg,10.228515350346033,0.37541871433202084,294.29388465308443,131.23328703703703,72.7289789111235,13290.014595044346
HE,vid_000003_frame0000002.jpg,10.205987280231971,0.4126992778289029,287.17600015721473,131.36040895061728,72.590401208922,9837.571792413919
HE,vid_000003_frame0000003.jpg,10.196770555547776,0.4165430990851163,288.27972808468166,131.29597222222222,72.69218583812949,10767.657279623678
HE,vid_000003_frame0000004.jpg,10.184133907777424,0.4378727753485087,285.4996261155369,131.46378858024693,72.62320969828605,9941.053573306695
HE,vid_000003_frame0000005.jpg,10.294841691154542,0.4407810998246158,286.1417233955687,131.2231712962963,72.70798647994297,10115.681858622685
HE,vid_000003_frame0000006.jpg,10.403247760945465,0.509748283180166,280.89616840120095,131.15180555555557,72.61403724962953,8709.506042180534
HE,vid_000003_frame0000007.jpg,10.619823144276337,0.5028662852397916,281.92033426415196,130.80851080246913,72.71516564590856,8329.171399226909
HE,vid_000003_frame0000008.jpg,10.676628897470904,0.5013054045850825,282.16061096783505,130.7475540123457,72.71982455752791,8164.842912446416
HE,vid_000003_frame0000010.jpg,10.402547978268409,0.4856330986305289,281.6267313389785,131.11782407407406,72.74879017843418,7729.347927754856
HE,vid_000003_frame0000011.jpg,10.22373884713481,0.468093530086078,282.00368688995894,131.44734567901236,72.72442481846662,8015.794292658262
HE,vid_000003_frame0000012.jpg,10.128051422387426,0.43605613887950195,284.3408981694152,131.7157638888889,72.75112587661185,8445.5405903597
HE,vid_000003_frame0000013.jpg,10.077894117700833,0.43497469753889423,282.5761881268068,131.71793981481483,72.58599084569923,7905.192861314729
