epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.831,1.45227,4.8727,1.4835,0.54485,0.09802,0.04201,0.02672,1.50162,5.76814,1.50636,0.000184046,0.000184046,0.000184046
2,143.872,1.51867,4.17579,1.5587,0.62339,0.0949,0.09346,0.05374,1.67349,5.42041,1.72467,0.000362066,0.000362066,0.000362066
3,215.115,1.52641,3.76651,1.56759,0.51979,0.20377,0.18204,0.10996,1.50111,4.81765,1.57442,0.000532746,0.000532746,0.000532746
4,291.29,1.51193,3.54965,1.53762,0.55673,0.18532,0.16958,0.10043,1.51337,4.78971,1.69287,0.000522974,0.000522974,0.000522974
5,370.997,1.48701,3.37839,1.54573,0.40362,0.35991,0.27061,0.16938,1.4031,4.16099,1.53782,0.000511965,0.000511965,0.000511965
6,447.825,1.47052,3.11867,1.53967,0.62254,0.31029,0.28935,0.18378,1.40406,4.27172,1.49297,0.000500956,0.000500956,0.000500956
7,522.856,1.42962,2.92866,1.48753,0.59324,0.33587,0.36719,0.23579,1.36057,3.49458,1.46853,0.000489947,0.000489947,0.000489947
8,590.819,1.41291,2.8216,1.49651,0.53395,0.48129,0.4547,0.2896,1.3524,3.36858,1.50033,0.000478938,0.000478938,0.000478938
9,662.449,1.37234,2.61294,1.46343,0.61698,0.48228,0.52833,0.35765,1.24441,2.88266,1.39524,0.00046793,0.00046793,0.00046793
10,734.674,1.33836,2.39224,1.44419,0.51286,0.59819,0.5877,0.4047,1.26344,2.90291,1.4315,0.000456921,0.000456921,0.000456921
11,806.969,1.30218,2.29545,1.41949,0.712,0.58028,0.66566,0.46488,1.17897,2.34666,1.34373,0.000445912,0.000445912,0.000445912
12,878.226,1.31221,2.19814,1.42487,0.66139,0.59901,0.65095,0.46814,1.18759,2.39807,1.36961,0.000434903,0.000434903,0.000434903
13,948.419,1.32593,2.18525,1.42221,0.61269,0.54254,0.60835,0.4368,1.14442,2.28023,1.31231,0.000423894,0.000423894,0.000423894
14,1017.8,1.24546,2.08273,1.38428,0.64188,0.60443,0.64991,0.47182,1.14047,2.24381,1.30463,0.000412886,0.000412886,0.000412886
15,1089.26,1.25486,1.95353,1.36124,0.65691,0.70325,0.72001,0.52017,1.11729,1.96262,1.29675,0.000401877,0.000401877,0.000401877
16,1159.9,1.24976,1.97418,1.37675,0.70987,0.70151,0.74772,0.54966,1.09446,1.96017,1.27415,0.000390868,0.000390868,0.000390868
